,0
943,8
504,7
1569,6
1317,0
1571,8
142,2
1620,0
29,9
1652,4
1422,7
270,4
437,2
403,7
162,5
41,4
1072,7
1485,1
1558,3
847,5
765,9
1618,2
1570,7
811,5
1258,0
838,3
1683,6
989,6
1030,1
1595,7
224,8
1756,3
1189,5
1521,6
863,4
228,4
314,6
1492,2
1315,8
449,3
1664,8
16,6
1312,5
379,8
1333,5
1334,1
843,6
941,0
1661,4
1634,1
828,7
1381,7
859,3
1162,5
957,0
311,0
695,0
651,5
1628,4
776,0
665,9
1018,5
597,7
1640,1
1274,5
220,9
1110,3
833,2
1559,4
208,0
54,2
801,5
705,3
354,3
754,7
255,8
702,1
309,8
1541,0
551,5
1637,8
1795,9
1568,5
1674,7
1087,3
1350,3
87,4
1635,7
871,6
144,4
866,1
1515,4
1398,4
956,2
1085,6
972,1
885,5
872,8
667,1
287,9
86,7
186,1
1348,7
150,0
467,7
1186,9
770,4
1490,2
1209,7
1284,8
1090,3
1298,1
42,1
1173,6
197,6
1625,2
422,0
1453,8
1079,7
1050,1
1784,5
513,8
1423,8
1354,6
1562,9
1765,3
1088,7
1657,7
446,3
1309,2
566,2
1387,4
743,4
1487,0
156,6
764,7
875,1
1429,4
1793,0
1520,9
1208,2
877,0
494,7
464,0
318,3
1304,7
402,6
769,8
882,6
1514,1
655,9
297,4
1367,1
1060,9
935,0
410,4
591,2
52,7
1275,7
1187,0
68,4
43,7
1155,9
868,9
713,6
235,1
1770,3
1684,7
74,5
1493,0
563,1
1444,9
48,0
900,4
296,8
1313,6
1328,4
308,7
1511,8
97,4
1397,4
1744,2
510,4
1574,9
58,6
495,5
658,2
1471,1
653,7
915,0
1725,6
788,2
1017,2
1278,4
101,0
676,0
4,4
1771,6
1727,3
1749,6
647,1
800,4
512,0
1542,8
154,4
1276,9
1303,6
632,2
999,3
336,1
1137,4
980,0
1694,7
1032,3
844,4
1296,9
595,0
480,7
569,8
1149,8
771,9
421,5
216,7
146,6
79,0
1322,5
988,4
1346,3
372,2
690,7
185,0
1289,2
118,7
1281,4
1406,9
419,5
668,2
1029,0
932,7
1225,4
1781,8
1740,9
355,1
1329,1
423,9
319,3
1133,6
1238,7
1251,7
313,2
672,6
1679,2
992,3
858,6
819,7
416,0
1244,4
530,4
824,0
918,3
359,3
1106,0
23,3
1038,9
428,1
748,5
427,4
987,1
1005,6
1501,7
1112,1
826,2
1702,5
327,5
1353,6
274,8
1355,4
1551,6
567,2
1321,6
439,8
509,8
1441,6
1109,6
391,5
1332,3
135,5
205,2
548,5
1688,1
649,3
368,7
560,7
117,5
1451,0
1025,0
930,5
837,7
1323,0
938,5
501,2
1388,0
240,7
766,5
1465,2
1302,5
1611,4
1092,6
165,5
271,5
161,9
1670,3
453,6
1696,9
1726,3
1440,5
194,4
721,2
1468,8
436,2
623,1
1253,8
1051,2
1409,8
990,3
1230,9
1254,4
1535,5
854,0
1759,9
508,8
1792,9
1122,6
617,0
1061,5
899,8
1491,8
1277,5
1345,6
1382,6
1371,2
621,9
1043,4
1181,4
1352,6
1681,4
856,1
570,2
1232,2
222,7
269,3
1016,2
257,1
710,4
1266,5
687,4
130,0
740,7
100,4
236,7
233,9
1682,5
1286,8
556,8
1174,7
620,6
443,2
1663,0
375,9
516,0
519,3
1601,6
190,3
1361,5
363,1
1006,9
657,1
290,6
5,5
1115,6
978,8
1766,1
293,9
768,8
1665,9
1146,9
245,5
791,5
762,2
1614,5
1548,3
562,5
1245,6
31,9
230,5
1201,7
582,6
361,9
132,2
772,0
66,6
1495,1
1690,3
1472,2
1553,8
660,4
169,9
1534,9
1182,5
1359,0
901,9
1419,4
1467,7
1219,3
982,1
10,0
1631,1
1415,0
246,5
289,5
1755,6
1417,2
476,1
252,0
243,2
1719,7
294,8
321,6
715,9
1459,7
7,7
460,5
1024,9
493,1
268,2
1743,8
411,5
347,3
1424,9
1402,2
1763,8
1658,9
1418,3
237,5
650,4
646,0
339,3
727,7
626,4
93,1
1138,4
1724,2
985,3
745,1
645,8
1234,2
500,8
1552,7
64,4
691,3
1132,9
550,6
469,3
630,8
1300,3
61,7
199,9
1532,5
923,8
1456,4
1723,1
511,9
84,2
1097,1
49,0
429,7
673,7
1522,1
440,2
947,1
301,3
944,9
1100,9
333,2
1116,3
497,4
521,5
1213,1
786,0
839,3
1327,8
1672,5
605,3
131,1
334,0
520,4
763,5
1754,4
426,8
1698,9
1772,9
1731,4
794,8
1554,9
942,9
1525,4
1394,1
196,6
902,0
1356,9
735,3
708,3
1673,6
634,7
1607,4
1597,2
1608,6
1544,8
404,8
195,6
435,0
603,4
879,3
337,7
750,6
659,3
1751,2
60,3
1227,1
1641,4
962,3
370,8
1046,7
774,9
1117,1
795,9
1153,0
664,8
1047,8
1370,3
438,7
390,4
265,9
72,0
1108,7
82,6
346,1
679,5
1497,6
1191,6
1256,1
860,2
189,3
1175,8
